event_name	tweet_id	image_id	tweet_text	image	label
hurricane_harvey	905960092822003712	905960092822003712_0	RT @tveitdal: Where Harvey is hitting hardest, 80 percent lack flood insurance https://t.co/p0xVVe3kNP https://t.co/xaHjtRRGMq	data_image/hurricane_harvey/8_9_2017/905960092822003712_0.jpg	severe_damage
california_wildfires	918008272363368448	918008272363368448_0	#NAPA #California #wildfires HORRIBLE, NO WORDS, why destroy our beautiful #Planet ? https://t.co/UvQgobCrys	data_image/california_wildfires/11_10_2017/918008272363368448_0.jpg	severe_damage
hurricane_irma	909396901254090752	909396901254090752_0	RT @business: Caribbean tax haven begins to bounce back after Irma https://t.co/GD2t473mAE https://t.co/TgIPV28IJD	data_image/hurricane_irma/17_9_2017/909396901254090752_0.jpg	severe_damage
hurricane_maria	912097936200355841	912097936200355841_0	@StormReportWX Steve, have you seen this from Tim Marshall ... NWS San Juan WSR damage... #hurricanemaria https://t.co/Heslyucxnf	data_image/hurricane_maria/24_9_2017/912097936200355841_0.jpg	severe_damage
hurricane_maria	922610290281402368	922610290281402368_1	Thanks for following! please share! https://t.co/dtkMVtB3oM https://t.co/oD9DeZ1yTk	data_image/hurricane_maria/23_10_2017/922610290281402368_1.jpg	little_or_no_damage
california_wildfires	919585500914208768	919585500914208768_0	Northern California wildfires expose emergency alert weaknesses in cellphone era https://t.co/CK58jwqAmS https://t.co/uTlzmd4cwz	data_image/california_wildfires/15_10_2017/919585500914208768_0.jpg	severe_damage
hurricane_maria	914372204787355648	914372204787355648_0	RT @leylasantiago: Palm trees have very little left on them #SanJuan #PuertoRico #hurricanemaria #cnn https://t.co/Uj1ky3HrsC	data_image/hurricane_maria/1_10_2017/914372204787355648_0.jpg	little_or_no_damage
california_wildfires	921623155835224064	921623155835224064_1	Reuters-California wildfire aftermath from above https://t.co/wIpWeBL3CL @Reuters https://t.co/Ii02FTgdHL	data_image/california_wildfires/21_10_2017/921623155835224064_1.jpg	severe_damage
hurricane_harvey	906792024094986240	906792024094986240_0	Had to get to a safe place until tornado watch expires #BoyntonBeach #HurricaneIrma @WPBF25News https://t.co/aNiYXlIrrR	data_image/hurricane_harvey/10_9_2017/906792024094986240_0.jpg	mild_damage
hurricane_irma	910118839081472000	910118839081472000_0	Did your gate or commercial door get damaged by #Irma? Call Action 239-768-DOOR or email info@actiondoor.com https://t.co/EUtT4TgpSQ	data_image/hurricane_irma/19_9_2017/910118839081472000_0.jpg	little_or_no_damage
